time_step,reward,all_rewards,grid_import_Building_1_kwh,export_Building_1_kwh,grid_import_kwh,export_kwh,net_grid_balance_kwh,cumulative_grid_import_kwh,cumulative_export_kwh,cumulative_net_grid_balance_kwh
0,-4.135708808898926,-4.135708808898926,2.033644199371338,0.0,2.033644199371338,0.0,2.033644199371338,2.033644199371338,0.0,2.033644199371338
1,-0.7161911129951477,-4.8518999218940735,0.8462807536125183,0.0,0.8462807536125183,0.0,0.8462807536125183,2.879924952983856,0.0,2.879924952983856
2,-0.5256051421165466,-5.37750506401062,0.7249863147735596,0.0,0.7249863147735596,0.0,0.7249863147735596,3.6049112677574158,0.0,3.6049112677574158
3,-0.40043309330940247,-5.777938157320023,0.6327978372573853,0.0,0.6327978372573853,0.0,0.6327978372573853,4.237709105014801,0.0,4.237709105014801
4,-0.36863788962364197,-6.1465760469436646,0.6071555614471436,0.0,0.6071555614471436,0.0,0.6071555614471436,4.844864666461945,0.0,4.844864666461945
5,-1.0012582540512085,-7.147834300994873,1.00062894821167,0.0,1.00062894821167,0.0,1.00062894821167,5.8454936146736145,0.0,5.8454936146736145
6,-2.5844473838806152,-9.732281684875488,1.607621669769287,0.0,1.607621669769287,0.0,1.607621669769287,7.453115284442902,0.0,7.453115284442902
7,-0.2854060232639313,-10.01768770813942,0.5342340469360352,0.0,0.5342340469360352,0.0,0.5342340469360352,7.987349331378937,0.0,7.987349331378937
8,-21.652889251708984,-31.670576959848404,4.653266429901123,0.0,4.653266429901123,0.0,4.653266429901123,12.64061576128006,0.0,12.64061576128006
9,-0.23293618857860565,-31.90351314842701,0.48263463377952576,0.0,0.48263463377952576,0.0,0.48263463377952576,13.123250395059586,0.0,13.123250395059586
10,0.0,-31.90351314842701,0.0,0.3569531738758087,0.0,0.3569531738758087,-0.3569531738758087,13.123250395059586,0.3569531738758087,12.766297221183777
11,-3.302473545074463,-35.20598669350147,1.8172708749771118,0.0,1.8172708749771118,0.0,1.8172708749771118,14.940521270036697,0.3569531738758087,14.583568096160889
12,-0.07074467837810516,-35.27673137187958,0.26597872376441956,0.0,0.26597872376441956,0.0,0.26597872376441956,15.206499993801117,0.3569531738758087,14.849546819925308
13,-0.04781646281480789,-35.324547834694386,0.21866975724697113,0.0,0.21866975724697113,0.0,0.21866975724697113,15.425169751048088,0.3569531738758087,15.06821657717228
14,-17.190845489501953,-52.51539332419634,4.14618444442749,0.0,4.14618444442749,0.0,4.14618444442749,19.57135419547558,0.3569531738758087,19.21440102159977
15,-7.973317623138428,-60.488710947334766,2.8237063884735107,0.0,2.8237063884735107,0.0,2.8237063884735107,22.39506058394909,0.3569531738758087,22.03810741007328
16,-2.7721970081329346,-63.2609079554677,1.6649916172027588,0.0,1.6649916172027588,0.0,1.6649916172027588,24.060052201151848,0.3569531738758087,23.70309902727604
17,-0.3894018232822418,-63.65030977874994,0.6240206956863403,0.0,0.6240206956863403,0.0,0.6240206956863403,24.684072896838188,0.3569531738758087,24.32711972296238
18,-2.0144295692443848,-65.66473934799433,1.4193060398101807,0.0,1.4193060398101807,0.0,1.4193060398101807,26.10337893664837,0.3569531738758087,25.74642576277256
19,-5.457973957061768,-71.1227133050561,2.336230754852295,0.0,2.336230754852295,0.0,2.336230754852295,28.439609691500664,0.3569531738758087,28.082656517624855
