time_step,hour,occupant_count,cooling_delta_before_action,action_value,reward,net_consumption_kwh,grid_import_kwh,indoor_temperature,cooling_setpoint,cooling_delta_after_step,cumulative_grid_import_kwh
0,1.0,3.0,-0.12356948852539062,0.0,-2.033644199371338,2.033644199371338,2.033644199371338,23.098651885986328,23.22222137451172,0.0,2.033644199371338
1,2.0,3.0,0.012521743774414062,0.0,-0.8462807536125183,0.8462807536125183,0.8462807536125183,22.234743118286133,22.22222137451172,0.012521743774414062,2.879924952983856
2,3.0,3.0,0.0008392333984375,0.0,-0.7249863147735596,0.7249863147735596,0.7249863147735596,22.223060607910156,22.22222137451172,0.0008392333984375,3.6049112677574158
3,4.0,3.0,2.86102294921875e-05,0.0,-0.6327978372573853,0.6327978372573853,0.6327978372573853,22.22224998474121,22.22222137451172,2.86102294921875e-05,4.237709105014801
4,5.0,3.0,1.52587890625e-05,0.0,-0.6071555614471436,0.6071555614471436,0.6071555614471436,22.22223663330078,22.22222137451172,1.52587890625e-05,4.844864666461945
5,6.0,3.0,1.52587890625e-05,0.0,-1.00062894821167,1.00062894821167,1.00062894821167,22.22223663330078,22.22222137451172,1.52587890625e-05,5.8454936146736145
6,7.0,2.0,9.5367431640625e-06,0.0,-1.607621669769287,1.607621669769287,1.607621669769287,22.222230911254883,22.22222137451172,9.5367431640625e-06,7.453115284442902
7,8.0,2.0,-0.0007781982421875,0.25,-0.5342340469360352,0.5342340469360352,0.5342340469360352,22.332555770874023,22.33333396911621,0.0,7.987349331378937
8,9.0,2.0,-0.0059814453125,0.0,-4.653266429901123,4.653266429901123,4.653266429901123,22.77179718017578,22.77777862548828,0.0,12.64061576128006
9,10.0,1.0,-0.06654548645019531,0.0,-0.48263463377952576,0.48263463377952576,0.48263463377952576,23.266788482666016,23.33333396911621,0.0,13.123250395059586
10,11.0,1.0,-0.03755378723144531,0.375,0.0,-0.3569531738758087,0.0,24.406890869140625,24.44444465637207,0.0,13.123250395059586
11,12.0,1.0,-0.000125885009765625,0.125,-1.8172708749771118,1.8172708749771118,1.8172708749771118,24.444318771362305,24.44444465637207,0.0,14.940521270036697
12,13.0,1.0,5.7220458984375e-06,0.125,-0.26597872376441956,0.26597872376441956,0.26597872376441956,24.659706115722656,24.44444465637207,0.21526145935058594,15.206499993801117
13,14.0,0.0,7.62939453125e-06,0.25,0.0,-0.26564109325408936,0.0,25.56452178955078,24.44444465637207,1.120077133178711,15.206499993801117
14,15.0,0.0,1.33514404296875e-05,0.5,-1.1042695045471191,1.1042695045471191,1.1042695045471191,23.944482803344727,24.44444465637207,0.0,16.310769498348236
15,16.0,1.0,9.5367431640625e-06,0.5,-2.219130277633667,2.219130277633667,2.219130277633667,24.446025848388672,24.44444465637207,0.0015811920166015625,18.529899775981903
16,17.0,0.0,0.02606964111328125,0.375,-1.3714771270751953,1.3714771270751953,1.3714771270751953,25.287513732910156,23.55555534362793,1.7319583892822266,19.9013769030571
17,18.0,2.0,-0.023105621337890625,0.0,-0.1799376904964447,0.1799376904964447,0.1799376904964447,28.44005584716797,25.55555534362793,2.884500503540039,20.081314593553543
18,19.0,3.0,-0.04053688049316406,0.0,-0.4625154137611389,0.4625154137611389,0.4625154137611389,29.555622100830078,26.5,3.055622100830078,20.543830007314682
19,20.0,3.0,0.06821823120117188,0.0,-1.0769085884094238,1.0769085884094238,1.0769085884094238,30.02755355834961,24.44444465637207,5.583108901977539,21.620738595724106
20,21.0,2.0,0.14877891540527344,0.125,-1.0425671339035034,1.0425671339035034,1.0425671339035034,27.9857120513916,21.66666603088379,6.3190460205078125,22.66330572962761
21,22.0,2.0,-0.08307456970214844,0.375,-2.4776744842529297,2.4776744842529297,2.4776744842529297,24.303829193115234,24.44444465637207,0.0,25.14098021388054
22,23.0,2.0,0.04767417907714844,0.0,-0.4215100109577179,0.4215100109577179,0.4215100109577179,27.216564178466797,22.83333396911621,4.383230209350586,25.562490224838257
23,24.0,2.0,0.09658622741699219,0.25,-1.383483648300171,1.383483648300171,1.383483648300171,22.644817352294922,20.72222137451172,1.9225959777832031,26.945973873138428
