time_step,occupant_count,weather_predicted_1,weather_predicted_2,weather_predicted_3,action_value,reward,net_consumption_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,24.9106388092041,38.415958404541016,27.61146354675293,3.0,0.9,-2.033644199371338,2.033644199371338,2.033644199371338,2.033644199371338
1,27.076562881469727,38.31935119628906,23.515499114990234,3.0,0.9,-0.8462807536125183,0.8462807536125183,0.8462807536125183,2.879924952983856
2,29.35183334350586,39.150482177734375,23.659442901611328,3.0,0.9,-0.7249863147735596,0.7249863147735596,0.7249863147735596,3.6049112677574158
3,31.032974243164062,40.93478775024414,26.686002731323242,3.0,0.9,-0.6327978372573853,0.6327978372573853,0.6327978372573853,4.237709105014801
4,33.81446838378906,39.71784210205078,24.467758178710938,3.0,0.9,-0.6071555614471436,0.6071555614471436,0.6071555614471436,4.844864666461945
5,36.44267272949219,38.72199630737305,25.222326278686523,3.0,0.9,-1.00062894821167,1.00062894821167,1.00062894821167,5.8454936146736145
6,36.919559478759766,34.716495513916016,24.522085189819336,2.0,0.9,-1.607621669769287,1.607621669769287,1.607621669769287,7.453115284442902
7,38.97854232788086,33.50566864013672,27.364582061767578,2.0,0.9,-0.5342340469360352,0.5342340469360352,0.5342340469360352,7.987349331378937
8,39.55098342895508,29.97665786743164,30.81295394897461,2.0,0.9,-4.653266429901123,4.653266429901123,4.653266429901123,12.64061576128006
9,39.498924255371094,28.91843032836914,33.26021957397461,1.0,0.9,-0.48263463377952576,0.48263463377952576,0.48263463377952576,13.123250395059586
10,40.08525466918945,27.6765079498291,35.02097702026367,1.0,0.9,0.0,-0.3569531738758087,0.0,13.123250395059586
11,37.527286529541016,26.089805603027344,36.69120788574219,1.0,0.9,-1.8172708749771118,1.8172708749771118,1.8172708749771118,14.940521270036697
12,36.916812896728516,25.903390884399414,38.726688385009766,1.0,0.9,-0.26597872376441956,0.26597872376441956,0.26597872376441956,15.206499993801117
13,32.41205596923828,25.724096298217773,38.56336212158203,0.0,0.9,-2.405611753463745,2.405611753463745,2.405611753463745,17.612111747264862
14,30.835533142089844,25.264219284057617,38.4118537902832,0.0,0.9,-2.748117208480835,2.748117208480835,2.748117208480835,20.360228955745697
15,30.552141189575195,25.186548233032227,39.42017364501953,1.0,0.9,-3.862978219985962,3.862978219985962,3.862978219985962,24.22320717573166
16,28.479679107666016,24.059202194213867,40.33298110961914,0.0,0.9,-3.529027223587036,3.529027223587036,3.529027223587036,27.752234399318695
17,26.891977310180664,23.315088272094727,37.28779220581055,2.0,0.9,-3.8785953521728516,3.8785953521728516,3.8785953521728516,31.630829751491547
18,24.893062591552734,24.26433563232422,34.77935791015625,3.0,0.9,-4.161173343658447,4.161173343658447,4.161173343658447,35.792003095149994
19,26.027912139892578,27.67641830444336,31.51157569885254,3.0,0.9,-4.775566101074219,4.775566101074219,4.775566101074219,40.56756919622421
20,23.88933753967285,28.889352798461914,30.255563735961914,2.0,0.9,-4.227522373199463,4.227522373199463,4.227522373199463,44.795091569423676
21,24.212108612060547,32.685760498046875,32.217403411865234,2.0,0.9,-4.63522481918335,4.63522481918335,4.63522481918335,49.430316388607025
22,23.86545181274414,33.53693771362305,28.455322265625,2.0,0.9,-4.1201677322387695,4.1201677322387695,4.1201677322387695,53.550484120845795
23,25.31902313232422,35.41936492919922,27.42836570739746,2.0,0.9,-4.054736137390137,4.054736137390137,4.054736137390137,57.60522025823593
24,24.826820373535156,38.48764419555664,26.9305419921875,2.0,0.9,-4.052868366241455,4.052868366241455,4.052868366241455,61.65808862447739
25,28.00714111328125,40.087215423583984,26.822914123535156,2.0,0.9,-4.05139684677124,4.05139684677124,4.05139684677124,65.70948547124863
26,28.57555389404297,39.17287063598633,26.50530433654785,2.0,0.9,-4.0500946044921875,4.0500946044921875,4.0500946044921875,69.75958007574081
27,31.37348747253418,41.76142501831055,25.137737274169922,2.0,0.9,-4.048736572265625,4.048736572265625,4.048736572265625,73.80831664800644
28,34.88600158691406,38.33061981201172,23.993776321411133,3.0,0.9,-5.053351879119873,5.053351879119873,5.053351879119873,78.86166852712631
29,36.86639404296875,39.303749084472656,26.7748966217041,3.0,0.9,-5.064510345458984,5.064510345458984,5.064510345458984,83.9261788725853
30,38.79588317871094,35.60645294189453,26.333538055419922,3.0,0.9,-5.02880334854126,5.02880334854126,5.02880334854126,88.95498222112656
31,39.334327697753906,31.81372833251953,26.191482543945312,3.0,0.9,-3.7766270637512207,3.7766270637512207,3.7766270637512207,92.73160928487778
32,40.44803237915039,32.68168258666992,28.218564987182617,2.0,0.9,-3.337158679962158,3.337158679962158,3.337158679962158,96.06876796483994
33,40.09043502807617,31.40363883972168,31.02239227294922,2.0,0.9,-3.2668228149414062,3.2668228149414062,3.2668228149414062,99.33559077978134
34,39.0451774597168,28.666231155395508,30.647628784179688,2.0,0.9,-3.7613117694854736,3.7613117694854736,3.7613117694854736,103.09690254926682
35,37.700897216796875,28.19200897216797,34.188201904296875,2.0,0.9,-4.021122932434082,4.021122932434082,4.021122932434082,107.1180254817009
36,36.22551345825195,27.482831954956055,29.897132873535156,2.0,0.9,-8.496027946472168,8.496027946472168,8.496027946472168,115.61405342817307
37,31.754718780517578,25.527334213256836,30.430633544921875,3.0,0.9,-5.4507927894592285,5.4507927894592285,5.4507927894592285,121.0648462176323
38,31.456697463989258,25.747562408447266,33.167755126953125,2.0,0.9,-3.1842641830444336,3.1842641830444336,3.1842641830444336,124.24911040067673
39,30.16349220275879,25.19240379333496,32.78379821777344,1.0,0.9,-3.043581247329712,3.043581247329712,3.043581247329712,127.29269164800644
