time_step,occupant_count,weather_predicted_1,weather_predicted_2,weather_predicted_3,action_value,reward,net_consumption_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,24.9106388092041,38.415958404541016,27.61146354675293,3.0,0.5,-2.033644199371338,2.033644199371338,2.033644199371338,2.033644199371338
1,27.076562881469727,38.31935119628906,23.515499114990234,3.0,0.5,-0.8462807536125183,0.8462807536125183,0.8462807536125183,2.879924952983856
2,29.35183334350586,39.150482177734375,23.659442901611328,3.0,0.5,-0.7249863147735596,0.7249863147735596,0.7249863147735596,3.6049112677574158
3,31.032974243164062,40.93478775024414,26.686002731323242,3.0,0.5,-0.6327978372573853,0.6327978372573853,0.6327978372573853,4.237709105014801
4,33.81446838378906,39.71784210205078,24.467758178710938,3.0,0.5,-0.6071555614471436,0.6071555614471436,0.6071555614471436,4.844864666461945
5,36.44267272949219,38.72199630737305,25.222326278686523,3.0,0.5,-1.00062894821167,1.00062894821167,1.00062894821167,5.8454936146736145
6,36.919559478759766,34.716495513916016,24.522085189819336,2.0,0.5,-1.607621669769287,1.607621669769287,1.607621669769287,7.453115284442902
7,38.97854232788086,33.50566864013672,27.364582061767578,2.0,0.5,-0.5342340469360352,0.5342340469360352,0.5342340469360352,7.987349331378937
8,39.55098342895508,29.97665786743164,30.81295394897461,2.0,0.5,-4.653266429901123,4.653266429901123,4.653266429901123,12.64061576128006
9,39.498924255371094,28.91843032836914,33.26021957397461,1.0,0.5,-0.48263463377952576,0.48263463377952576,0.48263463377952576,13.123250395059586
10,40.08525466918945,27.6765079498291,35.02097702026367,1.0,0.5,0.0,-0.3569531738758087,0.0,13.123250395059586
11,37.527286529541016,26.089805603027344,36.69120788574219,1.0,0.5,-1.8172708749771118,1.8172708749771118,1.8172708749771118,14.940521270036697
12,36.916812896728516,25.903390884399414,38.726688385009766,1.0,0.5,-0.26597872376441956,0.26597872376441956,0.26597872376441956,15.206499993801117
13,32.41205596923828,25.724096298217773,38.56336212158203,0.0,0.5,-0.7617638111114502,0.7617638111114502,0.7617638111114502,15.968263804912567
14,30.835533142089844,25.264219284057617,38.4118537902832,0.0,0.5,-1.1042695045471191,1.1042695045471191,1.1042695045471191,17.072533309459686
15,30.552141189575195,25.186548233032227,39.42017364501953,1.0,0.5,-2.219130277633667,2.219130277633667,2.219130277633667,19.291663587093353
16,28.479679107666016,24.059202194213867,40.33298110961914,0.0,0.5,-1.8851795196533203,1.8851795196533203,1.8851795196533203,21.176843106746674
17,26.891977310180664,23.315088272094727,37.28779220581055,2.0,0.5,-2.2347474098205566,2.2347474098205566,2.2347474098205566,23.41159051656723
