time_step,reward,cumulative_reward,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-2.1425483226776123,-2.1425483226776123,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-0.7526957392692566,-2.895244061946869,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-0.677560567855835,-3.572804629802704,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-0.6267991065979004,-4.199603736400604,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-0.6222763061523438,-4.821880042552948,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-0.8656569123268127,-5.687536954879761,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-1.4444599151611328,-7.1319968700408936,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-0.881751298904419,-8.013748168945312,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-4.887129783630371,-12.900877952575684,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-3.2866463661193848,-16.18752431869507,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-1.9179718494415283,-18.105496168136597,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-3.455195903778076,-21.560692071914673,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-1.9672014713287354,-23.527893543243408,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,-1.7339972853660583,-25.261890828609467,0.0,0.28255409002304077,1.4514431953430176,1.468356192111969,37.54017446935177
14,0.0,-25.261890828609467,0.0,0.0,0.0,0.0,37.54017446935177
15,-9.280558586120605,-34.54244941473007,3.3655996322631836,4.297515869140625,1.6174429655075073,9.280558466911316,46.820732936263084
16,-1.3871592283248901,-35.92960864305496,0.0,0.4465761184692383,0.9405831098556519,1.2175289392471313,48.038261875510216
17,-0.3574969172477722,-36.287105560302734,0.0,0.0,0.3574969172477722,0.10556034743785858,48.143822222948074
18,0.0,-36.287105560302734,0.0,0.0,0.0,0.0,48.143822222948074
19,-5.196137428283691,-41.483242988586426,1.066388487815857,0.352750688791275,0.3129066228866577,1.7320457994937897,49.875868022441864
20,-7.140835285186768,-48.62407827377319,0.5288646817207336,0.780853271484375,1.0705604553222656,2.3802784085273743,52.25614643096924
21,-37.28034973144531,-85.9044280052185,5.046186923980713,2.6401424407958984,4.740453720092773,12.426783084869385,64.68292951583862
22,-28.410865783691406,-114.31529378890991,4.531129837036133,0.19325745105743408,4.745901584625244,9.470288872718811,74.15321838855743
23,-28.40810775756836,-142.72340154647827,4.4656982421875,0.18901224434375763,4.814659118652344,9.469369605183601,83.62258799374104
24,-3.9254724979400635,-146.64887404441833,4.46382999420166,0.18733283877372742,3.199782371520996,7.850945204496384,91.47353319823742
25,-1.617955207824707,-148.26682925224304,1.3801437616348267,0.7423394322395325,1.1134272813796997,3.235910475254059,94.70944367349148
26,-0.4683615565299988,-148.73519080877304,0.3514370918273926,0.16868312656879425,0.4166029393672943,0.9367231577634811,95.64616683125496
27,-0.8624901175498962,-149.59768092632294,0.35007867217063904,0.1873515099287033,1.1875500679016113,1.7249802500009537,97.37114708125591
28,-0.996045708656311,-150.59372663497925,1.3546943664550781,0.20223666727542877,0.4351603388786316,1.9920913726091385,99.36323845386505
29,-1.0482687950134277,-151.64199542999268,1.3658525943756104,0.23087537288665771,0.49980950355529785,2.096537470817566,101.45977592468262
30,-2.1586761474609375,-153.8006715774536,2.357550621032715,0.8064035773277283,1.1533982753753662,4.317352473735809,105.77712839841843
31,-1.5236107110977173,-155.32428228855133,1.1053740978240967,0.7555338144302368,1.186313509941101,3.0472214221954346,108.82434982061386
32,-2.143756151199341,-157.46803843975067,0.6659061908721924,2.437044620513916,1.1845614910125732,4.287512302398682,113.11186212301254
33,-0.9508003890514374,-158.4188388288021,0.0,0.7027061581611633,0.24809423089027405,0.5189654529094696,113.63082757592201
34,-0.44446785748004913,-158.86330668628216,0.06265433132648468,0.38181352615356445,0.0,0.4262383319437504,114.05706590786576
35,-0.5458567142486572,-159.40916340053082,0.3224653899669647,0.2233913242816925,0.0,0.33093805611133575,114.3880039639771
36,-6.589037895202637,-165.99820129573345,5.824774742126465,0.5173225402832031,0.24694044888019562,6.589037731289864,120.97704169526696
37,-1.7521350383758545,-167.7503363341093,1.7521350383758545,0.0,0.0,0.984929084777832,121.9619707800448
38,0.0,-167.7503363341093,0.0,0.0,0.0,0.0,121.9619707800448
39,-0.7720916271209717,-168.52242796123028,0.0,0.7720916271209717,0.0,0.0,121.9619707800448
40,-1.1289808750152588,-169.65140883624554,0.447745680809021,0.19314506649971008,0.4880902171134949,1.128980964422226,123.09095174446702
41,-0.3666064143180847,-170.01801525056362,0.0,0.0,0.3666064143180847,0.21085864678025246,123.30181039124727
42,-2.4748167991638184,-172.49283204972744,1.109107494354248,0.2910788059234619,1.074630618095398,2.474816918373108,125.77662730962038
43,-5.111607074737549,-177.604439124465,0.7583456039428711,0.21914196014404297,0.7263814806938171,1.7038690447807312,127.48049635440111
44,-8.829835891723633,-186.43427501618862,2.2908387184143066,0.20169100165367126,0.4507490396499634,2.9432787597179413,130.42377511411905
45,-4.592558860778809,-191.02683387696743,0.6353296637535095,0.19623863697052002,0.6992846727371216,1.5308529734611511,131.9546280875802
46,-4.287060737609863,-195.3138946145773,0.5435421466827393,0.19325745105743408,0.6922207474708557,1.429020345211029,133.38364843279123
47,-30.391765594482422,-225.70566020905972,4.484604835510254,2.4415361881256104,3.204447031021118,10.130588054656982,143.51423648744822
