time_step,reward,cumulative_reward,grid_import_Building_1_kwh,grid_import_Building_2_kwh,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
0,-4.285096645355225,-4.285096645355225,2.033644199371338,0.5619984865188599,1.689454197883606,4.285096883773804,4.285096883773804
1,-1.5053914785385132,-5.790488123893738,0.8462807536125183,0.18591776490211487,0.47319296002388,1.5053914785385132,5.790488362312317
2,-1.35512113571167,-7.145609259605408,0.7249863147735596,0.18461598455905914,0.4455188810825348,1.3551211804151535,7.14560954272747
3,-1.2535982131958008,-8.399207472801208,0.6327978372573853,0.1873515099287033,0.433448851108551,1.2535981982946396,8.39920774102211
4,-1.2445526123046875,-9.643760085105896,0.6071555614471436,0.20223666727542877,0.4351603388786316,1.244552567601204,9.643760308623314
5,-1.7313138246536255,-11.375073909759521,1.00062894821167,0.23087537288665771,0.49980950355529785,1.7313138246536255,11.37507413327694
6,-2.8889198303222656,-14.263993740081787,1.607621669769287,0.24817126989364624,1.033126950263977,2.8889198899269104,14.26399402320385
7,-1.763502597808838,-16.027496337890625,0.5342340469360352,0.3452141582965851,0.8840543627738953,1.7635025680065155,16.027496591210365
8,-9.774259567260742,-25.801755905151367,4.653266429901123,2.933849573135376,2.187143325805664,9.774259328842163,25.80175592005253
9,-3.2866463661193848,-29.088402271270752,0.48263463377952576,0.6722479462623596,2.1317636966705322,3.2866462767124176,29.088402196764946
10,-1.7394952774047852,-30.827897548675537,0.0,0.6334824562072754,1.284489393234253,1.5610186755657196,30.649420872330666
11,-3.455195903778076,-34.28309345245361,1.8172708749771118,0.6685148477554321,0.969410240650177,3.455195963382721,34.10461683571339
12,-1.9672014713287354,-36.25029492378235,0.26597872376441956,0.9704316258430481,0.7307910919189453,1.967201441526413,36.0718182772398
13,-4.649427890777588,-40.89972281455994,1.7891688346862793,1.4088159799575806,1.4514431953430176,4.649428009986877,40.72124628722668
14,0.9441196322441101,-39.955603182315826,0.0,0.0,0.0,0.0,40.72124628722668
15,-1.3265159130096436,-41.28211909532547,0.16432055830955505,1.0962364673614502,0.06595885753631592,1.3265158832073212,42.047762170434
16,-0.09041498601436615,-41.372534081339836,0.0,0.2912794053554535,0.0,0.0,42.047762170434
17,-0.6364187002182007,-42.00895278155804,0.1799376904964447,0.3064201772212982,0.15006080269813538,0.6364186704158783,42.684180840849876
18,-3.6763224601745605,-45.6852752417326,1.4899202585220337,0.7243146896362305,1.4620875120162964,3.6763224601745605,46.36050330102444
19,-4.734182357788086,-50.41945759952068,2.104313373565674,0.9543315172195435,1.6755375862121582,4.7341824769973755,51.09468577802181
20,-4.6652398109436035,-55.08469741046429,1.556269645690918,1.3439842462539673,1.7649859189987183,4.6652398109436035,55.759925588965416
21,-3.286937713623047,-58.371635124087334,0.9365671873092651,0.3876185119152069,1.962751865386963,3.286937564611435,59.04686315357685
